,id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url,release_year
154,282,BlackShot: Revolution,https://www.mmobomb.com/g/282/thumbnail.jpg,"Become an elite mercenary operative and take on the world in BlackShot: Revolution, a new take on Vertigo Games' free-to-play shooter BlackShot. Arm yourself with a wide assortment of rifles, shotguns, pistols, and melee weapons, and go up against other players in fast and hard-hitting PvP action!",https://www.mmobomb.com/open/blackshot,Shooter,PC (Windows),Papaya Play,Vertigo Games,2018-07-27,https://www.mmobomb.com/blackshot,2018
155,31,Cosmos Invictus,https://www.mmobomb.com/g/31/thumbnail.jpg,"Decide the fate of humanity in Cosmos Invictus, a sci-fi, free-to-play CCG from Pegnio Ltd. featuring spaceborne 'mech combat and strategies not found in most CCGs.",https://www.mmobomb.com/open/cosmos-invictus,Card Game,PC (Windows),Pegnio Ltd,Pegnio Ltd,2018-06-27,https://www.mmobomb.com/cosmos-invictus,2018
156,36,Realm Royale Reforged,https://www.mmobomb.com/g/36/thumbnail.jpg,"Mount up and fight for the glory of the realm in Realm Royale Reforged, a free-to-play battle royale game from Hi-Rez Studios based on its hit shooter Paladins. Choose from one of five classes -- warrior, mage, hunter, assassin, or engineer -- and take on all comers in a furious fantasy fight to the finish.",https://www.mmobomb.com/open/realm-royale,Shooter,PC (Windows),Hi-Rez Studios,Hi-Rez Studios,2018-06-05,https://www.mmobomb.com/realm-royale,2018
157,460,Empire: World War 3,https://www.mmobomb.com/g/460/thumbnail.jpg,"Empire: World War III is a free-to-play browser-based strategy game from the developer of Legends of Honor. Players guild bases, train units, and control them in battle.",https://www.mmobomb.com/open/empireww3,Strategy,Web Browser,Goodgame Studios,Goodgame Studios,2018-06-28,https://www.mmobomb.com/empireww3,2018
158,506,Totally Accurate Battlegrounds,https://www.mmobomb.com/g/506/thumbnail.jpg,"Dive into hyper-realistic battle royale action in Landfall's Totally Accurate Battlegrounds, now free-to-play. Up to 60 players compete to be the last man wobbling, using weapons like the balloon crossbow, inflatable hammer to achieve their murderous goals.",https://www.mmobomb.com/open/tabg,Shooter,PC (Windows),Landfall,Landfall,2018-06-06,https://www.mmobomb.com/tabg,2018
159,434,Will To Live,https://www.mmobomb.com/g/434/thumbnail.jpg,"Will to Live is a free-to-play MMORPG-shooter developed and published by AlphaSoft LLC. Set in a post-apocalyptic wasteland, the game is an open-world shooter littered with radiation, mutants, and other survivors.",https://www.mmobomb.com/open/will-to-live,MMORPG,PC (Windows),AlphaSoft LLC,AlphaSoft LLC,2018-04-05,https://www.mmobomb.com/will-to-live,2018
160,42,Spellsworn,https://www.mmobomb.com/g/42/thumbnail.jpg,"Duel to the death in an ever-shrinking arena in Spellsworn, the free-to-play arena fighting game from Frogsong Studios, inspired by classic PvP arena games. Choose your wizardly combatant and deck him out with the best powers and gear, improving your build in the shop as you play.",https://www.mmobomb.com/open/spellsworn,MOBA,PC (Windows),Frogsong Studios AB,Frogsong Studios AB,2018-03-13,https://www.mmobomb.com/spellsworn,2018
161,43,Z1 Battle Royale,https://www.mmobomb.com/g/43/thumbnail.jpg,"Formerly known as H1Z1, Z1 Battle Royale was one of the first battle royale games on the market, and now it's come back to its roots and gone free-to-play! Scavenge and survive along with up to 150 other bloodthirsty competitors to come out on top.",https://www.mmobomb.com/open/z1-battle-royale,Shooter,PC (Windows),Daybreak Game Company,Daybreak Game Company,2018-02-28,https://www.mmobomb.com/z1-battle-royale,2018
162,44,Tale Of Toast,https://www.mmobomb.com/g/44/thumbnail.jpg,"Adventure and risk await you in Tale of Toast, a free-to-play sandbox MMORPG with open-world PvP and a freeform play style that evokes old-school MMOs. Experience a seamless world, filled with a variety of biomes and settlements, as well as procedurally generated dungeons that will offer a new experience every time.",https://www.mmobomb.com/open/tale-of-toast,MMORPG,PC (Windows),Toasty Leaf AB,Toasty Leaf AB,2018-02-23,https://www.mmobomb.com/tale-of-toast,2018
163,45,SoulWorker,https://www.mmobomb.com/g/45/thumbnail.jpg,"Put your soul to work in SoulWorker, the free-to-play action MMORPG from VALOFE that uses your very soul as a weapon! Demons from the void are trying to wipe out all of humanity, and it's up to a small band of fighters to hold them off.",https://www.mmobomb.com/open/soulworker,MMORPG,PC (Windows),G・O・P,VALOFE,2018-02-27,https://www.mmobomb.com/soulworker,2018
164,47,Bombtag,https://www.mmobomb.com/g/47/thumbnail.jpg,"Bombtag is a free-to-play multiplayer Bomberman-inspired game. Game rounds support up to 8 players and last just a few minutes, allowing for quick matches when you only have a little time.",https://www.mmobomb.com/open/bombtag,Strategy,PC (Windows),David Schneider,David Schneider,2018-02-12,https://www.mmobomb.com/bombtag,2018
165,48,Ironsight,https://www.mmobomb.com/g/48/thumbnail.jpg,"Ironsight is a free-to-play shooter set in the 2020s, when two factions fight over the last of the planet's dwindling resources. Built from the ground up in the Iron Engine, Ironsight offers top-notch visuals and dynamic battlefields.",https://www.mmobomb.com/open/ironsight,Shooter,PC (Windows),WipleGames Inc.,WipleGames Inc.,2018-02-01,https://www.mmobomb.com/ironsight,2018
166,49,Dead Maze,https://www.mmobomb.com/g/49/thumbnail.jpg,"Take on the zombie hordes in Dead Maze, a free-to-play 2-D massively multiplayer cooperative game set in a post-apocalyptic world. Players will have to work together to hunt and survive and to rebuild society.",https://www.mmobomb.com/open/dead-maze,MMORPG,PC (Windows),801,801,2018-02-13,https://www.mmobomb.com/dead-maze,2018
167,316,Scions of Fate,https://www.mmobomb.com/g/316/thumbnail.jpg,"Scions of Fate (Yulgang in Asia) is 3D Fantasy MMORPG very popular in Korea and china with more than 100 million fans. Game features include faction based PvP, guild system (House), and players run shops.",https://www.mmobomb.com/open/scions-of-fate,MMORPG,PC (Windows),NETGAME Inc,MGAME Corporation,2018-01-30,https://www.mmobomb.com/scions-of-fate,2018
168,342,My Soul,https://www.mmobomb.com/g/342/thumbnail.jpg,"Take your favorite SoulCalibur fighters into battle against unending waves of foes in this free-to-play action game from GameSprite. Choose one of four characters -- Nightmare, Ivy, Siegfried, and Tira -- and level up their abilities and gear to face increasingly harder enemies.",https://www.mmobomb.com/open/my-soul,MMORPG,Web Browser,Gamesprite,Gamesprite,2018-01-01,https://www.mmobomb.com/my-soul,2018
169,22,Wild Terra Online,https://www.mmobomb.com/g/22/thumbnail.jpg,"Make friends, make enemies, and survive the elements in Wild Terra Online, a free-to-play survival MMORPG from Juvty Worlds Ltd. With over 100 buildings to choose from, you can build your settlement up from scratch and defend it from all comers in skill-based combat, or just engage in crafting and the economical aspects of the game.",https://www.mmobomb.com/open/wild-terra-online,MMORPG,PC (Windows),Juvty Worlds Ltd.,Juvty Worlds Ltd.,2017-12-18,https://www.mmobomb.com/wild-terra-online,2017
170,52,Closers,https://www.mmobomb.com/g/52/thumbnail.jpg,"In Closers, a free-to-play fighting MMORPG, horrific creatures are springing from mysterious dimensional gates all around New Seoul, and it's up to you to stop them! Play as one of several psychic warriors, each with their own unique backstory and special abilities, and reclaim Korea!",https://www.mmobomb.com/open/closers,MMORPG,PC (Windows),En Masse Entertainment,Naddic Games,2017-12-19,https://www.mmobomb.com/closers,2017
171,322,La Tale Evolved,https://www.mmobomb.com/g/322/thumbnail.jpg,"LaTale is a free to play 2D side-scrolling fantasy MMORPG with anime inspired graphics, lots of quests and a massive player base. Simple gameplay and intuitive quests make LaTale accessible for players of all ages, while a large, immersive world promises hours of entertainment.",https://www.mmobomb.com/open/la-tale,MMORPG,PC (Windows),Papaya Play,Actoz Soft,2017-11-17,https://www.mmobomb.com/la-tale,2017
172,120,Luna Online: Reborn,https://www.mmobomb.com/g/120/thumbnail.jpg,"Relive your favorite Luna Online memories with Luna Online: Reborn, Suba Games' remake of the anime-styled free-to-play MMORPG! Set in the fantasy world of Blueland, Luna Online: Reborn takes all that was great about Luna Online and adds even more, while removing many of the restrictions and annoyances of its predecessor.",https://www.mmobomb.com/open/luna-online,MMORPG,PC (Windows),Suba Games,Suba Games,2017-10-17,https://www.mmobomb.com/luna-online,2017
173,695,Call of War,https://www.mmobomb.com/g/695/thumbnail.jpg,"Rewrite the course of World War II in Call of War, a free-to-play browser-based strategy game from Bytro Labs.",https://www.mmobomb.com/open/call-of-war,Strategy,Web Browser,Bytro Labs,Bytro Labs,2017-10-21,https://www.mmobomb.com/call-of-war,2017
174,58,The Ultimatest Battle,https://www.mmobomb.com/g/58/thumbnail.jpg,"Take command of pint-sized brawlers with plus-sized arsenals in The Ultimatest Battle, a free-to-play platformer fighting game from Ediogames. Choose one of six fighters and battle across a variety of maps with destructible elements, taking all comers in PvP battles and PvE boss fights!",https://www.mmobomb.com/open/the-ultimatest-battle,Fighting,PC (Windows),Ediogames,Ediogames,2017-09-12,https://www.mmobomb.com/the-ultimatest-battle,2017
175,59,Insidia,https://www.mmobomb.com/g/59/thumbnail.jpg,Insidia is a free-to-play turn-based tactical strategy game that pits two teams of four against each other in a post-apocalyptic -- but still colorful -- battleground. Plot out your turns and then watch your strategies unfold (or go horribly awry).,https://www.mmobomb.com/open/insidia,Strategy,PC (Windows),Bad Seed,Bad Seed,2017-09-07,https://www.mmobomb.com/insidia,2017
